LogId,BlockId,Timestamp,Level,Server,Component,PID,Message,FullLog,RootCause,Label
LOG0000015,blk_739569210,2024-01-01 00:01:11,INFO,db-primary,java-app,48148,Config reload successful,2024-01-01 00:01:11 INFO [db-primary] java-app[48148]: Config reload successful,Normal,0
LOG0000016,blk_883829476,2024-01-01 00:01:18,INFO,web-02,java-app,46341,Cache refresh completed,2024-01-01 00:01:18 INFO [web-02] java-app[46341]: Cache refresh completed,Normal,0
LOG0000017,blk_459428104,2024-01-01 00:01:24,INFO,web-01,cron,29712,Memory usage normal 45 percent,2024-01-01 00:01:24 INFO [web-01] cron[29712]: Memory usage normal 45 percent,Normal,0
LOG0000018,blk_766859689,2024-01-01 00:01:28,INFO,server-02,cron,25656,Scheduled job completed,2024-01-01 00:01:28 INFO [server-02] cron[25656]: Scheduled job completed,Normal,0
LOG0000019,blk_525304910,2024-01-01 00:01:33,ERROR,server-02,mysqld,63064,Packet loss 40 percent on eth0,2024-01-01 00:01:33 ERROR [server-02] mysqld[63064]: Packet loss 40 percent on eth0,Network Issue,1
LOG0000020,blk_589459482,2024-01-01 00:01:36,INFO,web-01,systemd,18147,Scheduled job completed,2024-01-01 00:01:36 INFO [web-01] systemd[18147]: Scheduled job completed,Normal,0
LOG0000021,blk_980571224,2024-01-01 00:01:41,INFO,web-01,kernel,39993,Database query executed in 12ms,2024-01-01 00:01:41 INFO [web-01] kernel[39993]: Database query executed in 12ms,Normal,0
LOG0000022,blk_296746621,2024-01-01 00:01:47,INFO,server-02,kernel,42065,Health check OK all services running,2024-01-01 00:01:47 INFO [server-02] kernel[42065]: Health check OK all services running,Normal,0
LOG0000023,blk_610652276,2024-01-01 00:01:50,DEBUG,db-primary,network-manager,25613,User login successful,2024-01-01 00:01:50 DEBUG [db-primary] network-manager[25613]: User login successful,Normal,0
LOG0000024,blk_764518938,2024-01-01 00:01:55,INFO,db-replica,nginx,61539,Health check OK all services running,2024-01-01 00:01:55 INFO [db-replica] nginx[61539]: Health check OK all services running,Normal,0
LOG0000025,blk_455384751,2024-01-01 00:02:04,INFO,server-02,network-manager,3593,API request processed 200 OK,2024-01-01 00:02:04 INFO [server-02] network-manager[3593]: API request processed 200 OK,Normal,0
LOG0000026,blk_239334912,2024-01-01 00:02:08,INFO,web-02,network-manager,15030,Memory usage normal 45 percent,2024-01-01 00:02:08 INFO [web-02] network-manager[15030]: Memory usage normal 45 percent,Normal,0
LOG0000027,blk_381082317,2024-01-01 00:02:10,ERROR,db-replica,kernel,64736,Network interface eth1 link down,2024-01-01 00:02:10 ERROR [db-replica] kernel[64736]: Network interface eth1 link down,Network Issue,1
LOG0000028,blk_698677231,2024-01-01 00:02:17,DEBUG,db-replica,nginx,14205,Memory usage normal 45 percent,2024-01-01 00:02:17 DEBUG [db-replica] nginx[14205]: Memory usage normal 45 percent,Normal,0
LOG0000029,blk_804507320,2024-01-01 00:02:21,INFO,server-01,systemd,36797,Cache refresh completed,2024-01-01 00:02:21 INFO [server-01] systemd[36797]: Cache refresh completed,Normal,0
LOG0000030,blk_166261802,2024-01-01 00:02:28,DEBUG,cache-01,nginx,29462,Config reload successful,2024-01-01 00:02:28 DEBUG [cache-01] nginx[29462]: Config reload successful,Normal,0
LOG0000031,blk_894824510,2024-01-01 00:02:32,WARN,app-server,network-manager,26199,Database query executed in 12ms,2024-01-01 00:02:32 WARN [app-server] network-manager[26199]: Database query executed in 12ms,Normal,0
LOG0000032,blk_123896808,2024-01-01 00:02:38,INFO,db-replica,nginx,65254,Cache refresh completed,2024-01-01 00:02:38 INFO [db-replica] nginx[65254]: Cache refresh completed,Normal,0
LOG0000033,blk_546382769,2024-01-01 00:02:44,INFO,db-primary,network-manager,31998,User login successful,2024-01-01 00:02:44 INFO [db-primary] network-manager[31998]: User login successful,Normal,0
LOG0000034,blk_424324160,2024-01-01 00:02:47,ERROR,db-replica,systemd,44183,DNS resolution failed for db.internal,2024-01-01 00:02:47 ERROR [db-replica] systemd[44183]: DNS resolution failed for db.internal,Network Issue,1
LOG0000035,blk_625518828,2024-01-01 00:02:51,ERROR,web-01,network-manager,7158,OutOfMemoryError Java heap space,2024-01-01 00:02:51 ERROR [web-01] network-manager[7158]: OutOfMemoryError Java heap space,Memory Overflow,1
LOG0000036,blk_528685673,2024-01-01 00:02:57,DEBUG,web-01,cron,23231,Health check OK all services running,2024-01-01 00:02:57 DEBUG [web-01] cron[23231]: Health check OK all services running,Normal,0
LOG0000037,blk_186048028,2024-01-01 00:03:01,INFO,db-replica,nginx,18307,Scheduled job completed,2024-01-01 00:03:01 INFO [db-replica] nginx[18307]: Scheduled job completed,Normal,0
LOG0000038,blk_296050268,2024-01-01 00:03:08,DEBUG,app-server,sshd,60684,Memory usage normal 45 percent,2024-01-01 00:03:08 DEBUG [app-server] sshd[60684]: Memory usage normal 45 percent,Normal,0
LOG0000039,blk_148298804,2024-01-01 00:03:11,WARN,app-server,kernel,24854,Database query executed in 12ms,2024-01-01 00:03:11 WARN [app-server] kernel[24854]: Database query executed in 12ms,Normal,0
LOG0000040,blk_446540657,2024-01-01 00:03:18,INFO,db-replica,systemd,51369,Cache refresh completed,2024-01-01 00:03:18 INFO [db-replica] systemd[51369]: Cache refresh completed,Normal,0
LOG0000041,blk_110409880,2024-01-01 00:03:24,INFO,db-primary,systemd,53911,Network throughput normal,2024-01-01 00:03:24 INFO [db-primary] systemd[53911]: Network throughput normal,Normal,0
LOG0000042,blk_574344193,2024-01-01 00:03:25,INFO,web-01,mysqld,44823,Memory usage normal 45 percent,2024-01-01 00:03:25 INFO [web-01] mysqld[44823]: Memory usage normal 45 percent,Normal,0
LOG0000043,blk_852605695,2024-01-01 00:03:33,INFO,db-primary,cron,14863,API request processed 200 OK,2024-01-01 00:03:33 INFO [db-primary] cron[14863]: API request processed 200 OK,Normal,0
LOG0000044,blk_247296460,2024-01-01 00:03:38,INFO,server-02,java-app,18060,Network throughput normal,2024-01-01 00:03:38 INFO [server-02] java-app[18060]: Network throughput normal,Normal,0
LOG0000045,blk_451250825,2024-01-01 00:03:40,ERROR,db-replica,sshd,48878,Unhandled exception IndexOutOfBounds,2024-01-01 00:03:40 ERROR [db-replica] sshd[48878]: Unhandled exception IndexOutOfBounds,Application Crash,1
LOG0000046,blk_692220958,2024-01-01 00:03:47,WARN,web-01,mysqld,22538,API request processed 200 OK,2024-01-01 00:03:47 WARN [web-01] mysqld[22538]: API request processed 200 OK,Normal,0
LOG0000047,blk_875711192,2024-01-01 00:03:54,DEBUG,web-02,nginx,39122,Network throughput normal,2024-01-01 00:03:54 DEBUG [web-02] nginx[39122]: Network throughput normal,Normal,0
LOG0000048,blk_908195825,2024-01-01 00:03:58,WARN,server-02,mysqld,65387,Health check OK all services running,2024-01-01 00:03:58 WARN [server-02] mysqld[65387]: Health check OK all services running,Normal,0
LOG0000049,blk_208457264,2024-01-01 00:04:04,INFO,app-server,network-manager,21379,Backup completed successfully,2024-01-01 00:04:04 INFO [app-server] network-manager[21379]: Backup completed successfully,Normal,0
LOG0000050,blk_583916406,2024-01-01 00:04:08,INFO,web-01,systemd,13247,Memory usage normal 45 percent,2024-01-01 00:04:08 INFO [web-01] systemd[13247]: Memory usage normal 45 percent,Normal,0
LOG0000051,blk_167384861,2024-01-01 00:04:11,DEBUG,app-server,java-app,48697,Memory usage normal 45 percent,2024-01-01 00:04:11 DEBUG [app-server] java-app[48697]: Memory usage normal 45 percent,Normal,0
LOG0000052,blk_647563091,2024-01-01 00:04:16,INFO,web-01,systemd,64646,Cache refresh completed,2024-01-01 00:04:16 INFO [web-01] systemd[64646]: Cache refresh completed,Normal,0
LOG0000053,blk_119336086,2024-01-01 00:04:23,DEBUG,app-server,java-app,35043,API request processed 200 OK,2024-01-01 00:04:23 DEBUG [app-server] java-app[35043]: API request processed 200 OK,Normal,0
LOG0000054,blk_519008747,2024-01-01 00:04:26,INFO,web-01,sshd,41642,Memory usage normal 45 percent,2024-01-01 00:04:26 INFO [web-01] sshd[41642]: Memory usage normal 45 percent,Normal,0
LOG0000055,blk_578870501,2024-01-01 00:04:33,DEBUG,server-01,cron,8512,Memory usage normal 45 percent,2024-01-01 00:04:33 DEBUG [server-01] cron[8512]: Memory usage normal 45 percent,Normal,0
LOG0000056,blk_685800125,2024-01-01 00:04:36,INFO,server-01,network-manager,39030,Database query executed in 12ms,2024-01-01 00:04:36 INFO [server-01] network-manager[39030]: Database query executed in 12ms,Normal,0
LOG0000057,blk_200133802,2024-01-01 00:04:40,DEBUG,db-replica,mysqld,43634,Database query executed in 12ms,2024-01-01 00:04:40 DEBUG [db-replica] mysqld[43634]: Database query executed in 12ms,Normal,0
LOG0000058,blk_351900361,2024-01-01 00:04:49,INFO,web-01,network-manager,54183,API request processed 200 OK,2024-01-01 00:04:49 INFO [web-01] network-manager[54183]: API request processed 200 OK,Normal,0
LOG0000059,blk_648271107,2024-01-01 00:04:52,INFO,app-server,network-manager,26396,API request processed 200 OK,2024-01-01 00:04:52 INFO [app-server] network-manager[26396]: API request processed 200 OK,Normal,0
LOG0000060,blk_391526256,2024-01-01 00:04:58,ERROR,web-02,java-app,4589,Swap usage at 100 percent,2024-01-01 00:04:58 ERROR [web-02] java-app[4589]: Swap usage at 100 percent,Memory Overflow,1
LOG0000061,blk_419668990,2024-01-01 00:05:03,DEBUG,web-01,mysqld,55158,API request processed 200 OK,2024-01-01 00:05:03 DEBUG [web-01] mysqld[55158]: API request processed 200 OK,Normal,0
LOG0000062,blk_465595508,2024-01-01 00:05:08,WARN,cache-01,systemd,60241,Backup completed successfully,2024-01-01 00:05:08 WARN [cache-01] systemd[60241]: Backup completed successfully,Normal,0
LOG0000063,blk_693061602,2024-01-01 00:05:13,DEBUG,web-01,sshd,58629,User login successful,2024-01-01 00:05:13 DEBUG [web-01] sshd[58629]: User login successful,Normal,0
LOG0000064,blk_787631864,2024-01-01 00:05:18,ERROR,web-01,mysqld,25473,High latency 2500ms detected,2024-01-01 00:05:18 ERROR [web-01] mysqld[25473]: High latency 2500ms detected,Network Issue,1
LOG0000065,blk_699756339,2024-01-01 00:05:21,INFO,app-server,nginx,61223,Memory usage normal 45 percent,2024-01-01 00:05:21 INFO [app-server] nginx[61223]: Memory usage normal 45 percent,Normal,0
LOG0000066,blk_401156498,2024-01-01 00:05:26,WARN,server-01,kernel,13594,Cache refresh completed,2024-01-01 00:05:26 WARN [server-01] kernel[13594]: Cache refresh completed,Normal,0
LOG0000067,blk_255683478,2024-01-01 00:05:30,WARN,db-primary,network-manager,31592,Backup completed successfully,2024-01-01 00:05:30 WARN [db-primary] network-manager[31592]: Backup completed successfully,Normal,0
LOG0000068,blk_748997756,2024-01-01 00:05:39,ERROR,db-replica,nginx,55051,Unhandled exception IndexOutOfBounds,2024-01-01 00:05:39 ERROR [db-replica] nginx[55051]: Unhandled exception IndexOutOfBounds,Application Crash,1
LOG0000069,blk_537916685,2024-01-01 00:05:41,WARN,server-01,java-app,13977,Cache refresh completed,2024-01-01 00:05:41 WARN [server-01] java-app[13977]: Cache refresh completed,Normal,0
LOG0000070,blk_704865595,2024-01-01 00:05:45,DEBUG,db-replica,java-app,37029,API request processed 200 OK,2024-01-01 00:05:45 DEBUG [db-replica] java-app[37029]: API request processed 200 OK,Normal,0
LOG0000071,blk_213620803,2024-01-01 00:05:52,DEBUG,app-server,java-app,45887,Scheduled job completed,2024-01-01 00:05:52 DEBUG [app-server] java-app[45887]: Scheduled job completed,Normal,0
LOG0000072,blk_397790900,2024-01-01 00:05:56,INFO,cache-01,systemd,43154,Scheduled job completed,2024-01-01 00:05:56 INFO [cache-01] systemd[43154]: Scheduled job completed,Normal,0
LOG0000073,blk_189019777,2024-01-01 00:06:02,INFO,server-02,nginx,29293,API request processed 200 OK,2024-01-01 00:06:02 INFO [server-02] nginx[29293]: API request processed 200 OK,Normal,0
LOG0000074,blk_622257257,2024-01-01 00:06:05,INFO,server-01,kernel,9716,Scheduled job completed,2024-01-01 00:06:05 INFO [server-01] kernel[9716]: Scheduled job completed,Normal,0
LOG0000075,blk_918498189,2024-01-01 00:06:14,INFO,server-01,mysqld,20487,User login successful,2024-01-01 00:06:14 INFO [server-01] mysqld[20487]: User login successful,Normal,0
LOG0000076,blk_986183140,2024-01-01 00:06:19,DEBUG,app-server,systemd,40173,Config reload successful,2024-01-01 00:06:19 DEBUG [app-server] systemd[40173]: Config reload successful,Normal,0
LOG0000077,blk_578287109,2024-01-01 00:06:24,INFO,web-01,network-manager,63249,Backup completed successfully,2024-01-01 00:06:24 INFO [web-01] network-manager[63249]: Backup completed successfully,Normal,0
LOG0000078,blk_450364124,2024-01-01 00:06:27,INFO,server-01,cron,54957,API request processed 200 OK,2024-01-01 00:06:27 INFO [server-01] cron[54957]: API request processed 200 OK,Normal,0
LOG0000079,blk_378560528,2024-01-01 00:06:33,WARN,db-replica,systemd,1768,Memory usage normal 45 percent,2024-01-01 00:06:33 WARN [db-replica] systemd[1768]: Memory usage normal 45 percent,Normal,0
LOG0000080,blk_436534954,2024-01-01 00:06:39,INFO,web-01,network-manager,61052,Backup completed successfully,2024-01-01 00:06:39 INFO [web-01] network-manager[61052]: Backup completed successfully,Normal,0
LOG0000081,blk_202044730,2024-01-01 00:06:40,ERROR,web-02,mysqld,38282,Brute force attack on SSH port 22,2024-01-01 00:06:40 ERROR [web-02] mysqld[38282]: Brute force attack on SSH port 22,Security Attack,1
LOG0000082,blk_938845585,2024-01-01 00:06:46,INFO,server-01,java-app,27341,Network throughput normal,2024-01-01 00:06:46 INFO [server-01] java-app[27341]: Network throughput normal,Normal,0
LOG0000083,blk_303287726,2024-01-01 00:06:54,INFO,server-02,java-app,1105,Database query executed in 12ms,2024-01-01 00:06:54 INFO [server-02] java-app[1105]: Database query executed in 12ms,Normal,0
LOG0000084,blk_513794113,2024-01-01 00:06:57,ERROR,web-01,cron,13895,Port scan detected from remote host,2024-01-01 00:06:57 ERROR [web-01] cron[13895]: Port scan detected from remote host,Security Attack,1
LOG0000085,blk_195287955,2024-01-01 00:07:01,INFO,web-02,cron,7629,Config reload successful,2024-01-01 00:07:01 INFO [web-02] cron[7629]: Config reload successful,Normal,0
LOG0000086,blk_778643926,2024-01-01 00:07:05,INFO,server-02,sshd,29323,API request processed 200 OK,2024-01-01 00:07:05 INFO [server-02] sshd[29323]: API request processed 200 OK,Normal,0
LOG0000087,blk_802362448,2024-01-01 00:07:12,ERROR,server-02,mysqld,17802,DDoS attack high traffic volume,2024-01-01 00:07:12 ERROR [server-02] mysqld[17802]: DDoS attack high traffic volume,Security Attack,1
LOG0000088,blk_115257499,2024-01-01 00:07:19,DEBUG,web-01,mysqld,20256,API request processed 200 OK,2024-01-01 00:07:19 DEBUG [web-01] mysqld[20256]: API request processed 200 OK,Normal,0
LOG0000089,blk_759998304,2024-01-01 00:07:21,WARN,server-01,mysqld,6215,Config reload successful,2024-01-01 00:07:21 WARN [server-01] mysqld[6215]: Config reload successful,Normal,0
LOG0000090,blk_267258368,2024-01-01 00:07:28,INFO,app-server,cron,29336,Scheduled job completed,2024-01-01 00:07:28 INFO [app-server] cron[29336]: Scheduled job completed,Normal,0
LOG0000091,blk_563727861,2024-01-01 00:07:34,WARN,server-02,network-manager,43396,User login successful,2024-01-01 00:07:34 WARN [server-02] network-manager[43396]: User login successful,Normal,0
LOG0000092,blk_962763254,2024-01-01 00:07:36,INFO,db-replica,mysqld,63598,User login successful,2024-01-01 00:07:36 INFO [db-replica] mysqld[63598]: User login successful,Normal,0
LOG0000093,blk_748724166,2024-01-01 00:07:42,INFO,app-server,kernel,42855,User login successful,2024-01-01 00:07:42 INFO [app-server] kernel[42855]: User login successful,Normal,0
LOG0000094,blk_269376971,2024-01-01 00:07:47,DEBUG,web-02,kernel,28360,Health check OK all services running,2024-01-01 00:07:47 DEBUG [web-02] kernel[28360]: Health check OK all services running,Normal,0
LOG0000095,blk_641533780,2024-01-01 00:07:53,ERROR,app-server,nginx,23684,Thread pool exhausted all workers busy,2024-01-01 00:07:53 ERROR [app-server] nginx[23684]: Thread pool exhausted all workers busy,Application Crash,1
LOG0000096,blk_175670131,2024-01-01 00:07:59,DEBUG,app-server,sshd,21581,Memory usage normal 45 percent,2024-01-01 00:07:59 DEBUG [app-server] sshd[21581]: Memory usage normal 45 percent,Normal,0
LOG0000097,blk_312084046,2024-01-01 00:08:01,ERROR,server-01,cron,32272,Disk timeout after 30 seconds,2024-01-01 00:08:01 ERROR [server-01] cron[32272]: Disk timeout after 30 seconds,Disk Failure,1
LOG0000098,blk_687119803,2024-01-01 00:08:08,DEBUG,web-01,kernel,38094,User login successful,2024-01-01 00:08:08 DEBUG [web-01] kernel[38094]: User login successful,Normal,0
LOG0000099,blk_303687128,2024-01-01 00:08:14,INFO,cache-01,kernel,10326,Database query executed in 12ms,2024-01-01 00:08:14 INFO [cache-01] kernel[10326]: Database query executed in 12ms,Normal,0
LOG0000100,blk_315414678,2024-01-01 00:08:19,INFO,server-01,network-manager,61308,Scheduled job completed,2024-01-01 00:08:19 INFO [server-01] network-manager[61308]: Scheduled job completed,Normal,0
LOG0000101,blk_367156260,2024-01-01 00:08:23,WARN,server-02,mysqld,36036,Backup completed successfully,2024-01-01 00:08:23 WARN [server-02] mysqld[36036]: Backup completed successfully,Normal,0
LOG0000102,blk_876849662,2024-01-01 00:08:27,DEBUG,db-primary,systemd,10476,API request processed 200 OK,2024-01-01 00:08:27 DEBUG [db-primary] systemd[10476]: API request processed 200 OK,Normal,0
LOG0000103,blk_913926333,2024-01-01 00:08:30,DEBUG,app-server,network-manager,33615,Config reload successful,2024-01-01 00:08:30 DEBUG [app-server] network-manager[33615]: Config reload successful,Normal,0
LOG0000104,blk_848516654,2024-01-01 00:08:37,DEBUG,web-02,mysqld,26245,Config reload successful,2024-01-01 00:08:37 DEBUG [web-02] mysqld[26245]: Config reload successful,Normal,0
LOG0000105,blk_701615360,2024-01-01 00:08:40,DEBUG,server-02,cron,9136,Scheduled job completed,2024-01-01 00:08:40 DEBUG [server-02] cron[9136]: Scheduled job completed,Normal,0
LOG0000106,blk_601989547,2024-01-01 00:08:48,INFO,server-01,java-app,21479,Health check OK all services running,2024-01-01 00:08:48 INFO [server-01] java-app[21479]: Health check OK all services running,Normal,0
LOG0000107,blk_638268604,2024-01-01 00:08:54,WARN,server-02,nginx,63646,Memory usage normal 45 percent,2024-01-01 00:08:54 WARN [server-02] nginx[63646]: Memory usage normal 45 percent,Normal,0
LOG0000108,blk_552208996,2024-01-01 00:08:56,DEBUG,web-02,mysqld,10065,Config reload successful,2024-01-01 00:08:56 DEBUG [web-02] mysqld[10065]: Config reload successful,Normal,0
LOG0000109,blk_705239679,2024-01-01 00:09:02,INFO,app-server,mysqld,49176,API request processed 200 OK,2024-01-01 00:09:02 INFO [app-server] mysqld[49176]: API request processed 200 OK,Normal,0
LOG0000110,blk_398967222,2024-01-01 00:09:08,INFO,server-01,cron,27505,API request processed 200 OK,2024-01-01 00:09:08 INFO [server-01] cron[27505]: API request processed 200 OK,Normal,0
LOG0000111,blk_955818099,2024-01-01 00:09:10,INFO,server-02,mysqld,15278,Config reload successful,2024-01-01 00:09:10 INFO [server-02] mysqld[15278]: Config reload successful,Normal,0
LOG0000112,blk_230645427,2024-01-01 00:09:15,INFO,server-02,nginx,28086,Database query executed in 12ms,2024-01-01 00:09:15 INFO [server-02] nginx[28086]: Database query executed in 12ms,Normal,0
LOG0000113,blk_255647902,2024-01-01 00:09:24,DEBUG,db-primary,network-manager,8172,Health check OK all services running,2024-01-01 00:09:24 DEBUG [db-primary] network-manager[8172]: Health check OK all services running,Normal,0
LOG0000114,blk_462414803,2024-01-01 00:09:28,ERROR,db-replica,java-app,64233,Disk timeout after 30 seconds,2024-01-01 00:09:28 ERROR [db-replica] java-app[64233]: Disk timeout after 30 seconds,Disk Failure,1
LOG0000115,blk_960272127,2024-01-01 00:09:34,INFO,web-02,network-manager,43579,Backup completed successfully,2024-01-01 00:09:34 INFO [web-02] network-manager[43579]: Backup completed successfully,Normal,0
LOG0000116,blk_951233289,2024-01-01 00:09:38,INFO,db-primary,nginx,8819,Health check OK all services running,2024-01-01 00:09:38 INFO [db-primary] nginx[8819]: Health check OK all services running,Normal,0
LOG0000117,blk_706084707,2024-01-01 00:09:41,WARN,cache-01,sshd,64058,Memory usage normal 45 percent,2024-01-01 00:09:41 WARN [cache-01] sshd[64058]: Memory usage normal 45 percent,Normal,0
LOG0000118,blk_973273966,2024-01-01 00:09:48,ERROR,web-01,sshd,55873,Memory usage exceeded 95 percent,2024-01-01 00:09:48 ERROR [web-01] sshd[55873]: Memory usage exceeded 95 percent,Memory Overflow,1
LOG0000119,blk_173334236,2024-01-01 00:09:52,DEBUG,cache-01,nginx,59148,Scheduled job completed,2024-01-01 00:09:52 DEBUG [cache-01] nginx[59148]: Scheduled job completed,Normal,0
LOG0000120,blk_231892206,2024-01-01 00:09:57,INFO,server-02,kernel,4698,Health check OK all services running,2024-01-01 00:09:57 INFO [server-02] kernel[4698]: Health check OK all services running,Normal,0
LOG0000121,blk_882460484,2024-01-01 00:10:01,INFO,cache-01,cron,15460,Health check OK all services running,2024-01-01 00:10:01 INFO [cache-01] cron[15460]: Health check OK all services running,Normal,0
LOG0000122,blk_966125548,2024-01-01 00:10:06,INFO,app-server,nginx,11277,Health check OK all services running,2024-01-01 00:10:06 INFO [app-server] nginx[11277]: Health check OK all services running,Normal,0
LOG0000123,blk_336124123,2024-01-01 00:10:11,ERROR,server-02,kernel,14834,GC overhead limit exceeded,2024-01-01 00:10:11 ERROR [server-02] kernel[14834]: GC overhead limit exceeded,Memory Overflow,1
LOG0000124,blk_504432010,2024-01-01 00:10:18,INFO,db-primary,nginx,36848,Cache refresh completed,2024-01-01 00:10:18 INFO [db-primary] nginx[36848]: Cache refresh completed,Normal,0
LOG0000125,blk_798425678,2024-01-01 00:10:20,INFO,server-02,java-app,7724,API request processed 200 OK,2024-01-01 00:10:20 INFO [server-02] java-app[7724]: API request processed 200 OK,Normal,0
LOG0000126,blk_991483625,2024-01-01 00:10:25,INFO,web-02,mysqld,28654,Memory usage normal 45 percent,2024-01-01 00:10:25 INFO [web-02] mysqld[28654]: Memory usage normal 45 percent,Normal,0
LOG0000127,blk_233951886,2024-01-01 00:10:34,INFO,app-server,network-manager,48833,Health check OK all services running,2024-01-01 00:10:34 INFO [app-server] network-manager[48833]: Health check OK all services running,Normal,0
LOG0000128,blk_311751721,2024-01-01 00:10:36,WARN,web-01,java-app,11733,Health check OK all services running,2024-01-01 00:10:36 WARN [web-01] java-app[11733]: Health check OK all services running,Normal,0
LOG0000129,blk_123076676,2024-01-01 00:10:44,INFO,web-02,systemd,53776,Health check OK all services running,2024-01-01 00:10:44 INFO [web-02] systemd[53776]: Health check OK all services running,Normal,0
LOG0000130,blk_442545846,2024-01-01 00:10:45,INFO,web-01,java-app,18587,Config reload successful,2024-01-01 00:10:45 INFO [web-01] java-app[18587]: Config reload successful,Normal,0
LOG0000131,blk_499647665,2024-01-01 00:10:53,INFO,db-primary,mysqld,9467,Scheduled job completed,2024-01-01 00:10:53 INFO [db-primary] mysqld[9467]: Scheduled job completed,Normal,0
LOG0000132,blk_663401818,2024-01-01 00:10:58,WARN,cache-01,kernel,51663,API request processed 200 OK,2024-01-01 00:10:58 WARN [cache-01] kernel[51663]: API request processed 200 OK,Normal,0
LOG0000133,blk_317411073,2024-01-01 00:11:01,ERROR,web-02,java-app,61601,NullPointerException in UserService,2024-01-01 00:11:01 ERROR [web-02] java-app[61601]: NullPointerException in UserService,Application Crash,1
LOG0000134,blk_446210468,2024-01-01 00:11:06,INFO,app-server,nginx,36473,Database query executed in 12ms,2024-01-01 00:11:06 INFO [app-server] nginx[36473]: Database query executed in 12ms,Normal,0
LOG0000135,blk_789228275,2024-01-01 00:11:13,INFO,db-primary,nginx,48251,Cache refresh completed,2024-01-01 00:11:13 INFO [db-primary] nginx[48251]: Cache refresh completed,Normal,0
LOG0000136,blk_627263365,2024-01-01 00:11:17,ERROR,server-02,cron,34903,Filesystem corruption detected,2024-01-01 00:11:17 ERROR [server-02] cron[34903]: Filesystem corruption detected,Disk Failure,1
LOG0000137,blk_939441323,2024-01-01 00:11:22,DEBUG,db-replica,kernel,16229,Database query executed in 12ms,2024-01-01 00:11:22 DEBUG [db-replica] kernel[16229]: Database query executed in 12ms,Normal,0
LOG0000138,blk_151922620,2024-01-01 00:11:28,ERROR,cache-01,cron,58409,DDoS attack high traffic volume,2024-01-01 00:11:28 ERROR [cache-01] cron[58409]: DDoS attack high traffic volume,Security Attack,1
LOG0000139,blk_617612713,2024-01-01 00:11:30,INFO,web-01,cron,24923,User login successful,2024-01-01 00:11:30 INFO [web-01] cron[24923]: User login successful,Normal,0
LOG0000140,blk_594193750,2024-01-01 00:11:39,WARN,app-server,java-app,6178,Scheduled job completed,2024-01-01 00:11:39 WARN [app-server] java-app[6178]: Scheduled job completed,Normal,0
